Image,Ear_Detected,Area_Percent,Num_Detections,Guide_Generated
94gr (6).png,False,0.00,0,No
94gr (7).png,False,0.00,0,No
94gr (8).png,False,0.00,0,No
94gr (9).png,False,0.00,0,No
94gr.png,True,18.53,2,Yes
94rfb (10).png,True,21.83,1,Yes
94rfb (11).png,False,0.00,0,No
94rfb (12).png,True,22.65,1,Yes
94rfb (13).png,True,21.47,2,Yes
94rfb (2).png,False,0.00,0,No
94rfb (3).png,False,0.00,0,No
94rfb (4).png,False,0.00,0,No
94rfb (5).png,True,20.74,3,Yes
94rfb (6).png,False,0.00,0,No
94rfb (7).png,False,0.00,0,No
94rfb (8).png,True,13.53,2,Yes
94rfb (9).png,False,0.00,0,No
94rfb.png,True,17.42,3,Yes
95gr (10).png,False,0.00,0,No
95gr (11).png,False,0.00,0,No
95gr (12).png,False,0.00,0,No
95gr (13).png,False,0.00,0,No
95gr (2).png,False,0.00,0,No
95gr (3).png,False,0.00,0,No
95gr (4).png,False,0.00,0,No
95gr (5).png,False,0.00,0,No
95gr (6).png,False,0.00,0,No
95gr (7).png,False,0.00,0,No
95gr (8).png,False,0.00,0,No
95gr (9).png,False,0.00,0,No
95gr.png,False,0.00,0,No
95rfb (10).png,False,0.00,0,No
95rfb (11).png,False,0.00,0,No
95rfb (12).png,True,25.96,1,Yes
95rfb (13).png,True,23.92,1,Yes
95rfb (2).png,False,0.00,0,No
95rfb (3).png,False,0.00,0,No
95rfb (4).png,False,0.00,0,No
95rfb (5).png,False,0.00,0,No
95rfb (6).png,True,24.79,1,Yes
95rfb (7).png,False,0.00,0,No
95rfb (8).png,False,0.00,0,No
95rfb (9).png,True,15.67,1,Yes
95rfb.png,True,22.37,1,Yes
96gr (10).png,False,0.00,0,No
96gr (11).png,False,0.00,0,No
96gr (12).png,False,0.00,0,No
96gr (13).png,False,0.00,0,No
96gr (2).png,True,20.36,1,Yes
96gr (3).png,False,0.00,0,No
96gr (4).png,False,0.00,0,No
96gr (5).png,True,21.56,1,Yes
96gr (6).png,False,0.00,0,No
96gr (7).png,False,0.00,0,No
96gr (8).png,False,0.00,0,No
96gr (9).png,True,19.09,1,Yes
96gr.png,False,0.00,0,No
96rfb (10).png,True,18.06,1,Yes
96rfb (11).png,True,22.74,2,Yes
96rfb (12).png,True,15.19,2,Yes
96rfb (13).png,False,0.00,0,No
96rfb (2).png,False,0.00,0,No
96rfb (3).png,False,0.00,0,No
96rfb (4).png,False,0.00,0,No
96rfb (5).png,False,0.00,0,No
96rfb (6).png,False,0.00,0,No
96rfb (7).png,False,0.00,0,No
96rfb (8).png,False,0.00,0,No
96rfb (9).png,True,23.37,1,Yes
96rfb.png,True,19.49,1,Yes
97gr (10).png,False,0.00,0,No
97gr (11).png,False,0.00,0,No
97gr (12).png,False,0.00,0,No
97gr (13).png,False,0.00,0,No
97gr (2).png,False,0.00,0,No
97gr (3).png,False,0.00,0,No
97gr (4).png,False,0.00,0,No
97gr (5).png,False,0.00,0,No
97gr (6).png,False,0.00,0,No
97gr (7).png,False,0.00,0,No
97gr (8).png,False,0.00,0,No
97gr (9).png,False,0.00,0,No
97gr.png,False,0.00,0,No
97rfb (10).png,False,0.00,0,No
97rfb (11).png,True,14.21,1,Yes
97rfb (12).png,True,24.56,2,Yes
97rfb (13).png,False,0.00,0,No
97rfb (2).png,True,24.95,1,Yes
97rfb (3).png,False,0.00,0,No
97rfb (4).png,True,14.56,2,Yes
97rfb (5).png,False,0.00,0,No
97rfb (6).png,False,0.00,0,No
97rfb (7).png,True,24.66,1,Yes
97rfb (8).png,False,0.00,0,No
97rfb (9).png,False,0.00,0,No
97rfb.png,True,15.02,4,Yes
98gr (10).png,False,0.00,0,No
98gr (11).png,False,0.00,0,No
98gr (12).png,False,0.00,0,No
98gr (13).png,False,0.00,0,No
98gr (2).png,False,0.00,0,No
98gr (3).png,False,0.00,0,No
98gr (4).png,False,0.00,0,No
98gr (5).png,False,0.00,0,No
98gr (6).png,True,24.61,1,Yes
98gr (7).png,False,0.00,0,No
98gr (8).png,False,0.00,0,No
98gr (9).png,False,0.00,0,No
98gr.png,False,0.00,0,No
98rfb (10).png,True,21.12,1,Yes
98rfb (11).png,True,23.06,1,Yes
98rfb (12).png,False,0.00,0,No
98rfb (13).png,True,18.68,2,Yes
98rfb (2).png,True,15.85,2,Yes
98rfb (3).png,False,0.00,0,No
98rfb (4).png,True,17.41,1,Yes
98rfb (5).png,True,20.91,2,Yes
98rfb (6).png,True,24.19,1,Yes
98rfb (7).png,False,0.00,0,No
98rfb (8).png,False,0.00,0,No
98rfb (9).png,True,18.10,1,Yes
98rfb.png,True,17.28,2,Yes
99gr (10).png,False,0.00,0,No
99gr (11).png,False,0.00,0,No
99gr (12).png,False,0.00,0,No
99gr (13).png,True,22.52,1,Yes
99gr (2).png,True,24.34,1,Yes
99gr (3).png,False,0.00,0,No
99gr (4).png,False,0.00,0,No
99gr (5).png,False,0.00,0,No
99gr (6).png,False,0.00,0,No
99gr (7).png,True,21.96,1,Yes
99gr (8).png,False,0.00,0,No
99gr (9).png,False,0.00,0,No
99gr.png,False,0.00,0,No
99rfb (10).png,False,0.00,0,No
99rfb (11).png,False,0.00,0,No
99rfb (12).png,False,0.00,0,No
99rfb (13).png,True,25.12,2,Yes
99rfb (2).png,True,25.90,2,Yes
99rfb (3).png,False,0.00,0,No
99rfb (4).png,False,0.00,0,No
99rfb (5).png,False,0.00,0,No
99rfb (6).png,False,0.00,0,No
99rfb (7).png,False,0.00,0,No
99rfb (8).png,True,20.79,1,Yes
99rfb (9).png,True,19.06,2,Yes
99rfb.png,False,0.00,0,No
