Image,Ear_Detected,Area_Percent,Num_Detections
91gr (11).png,False,0.00,0
91gr (12).png,False,0.00,0
91gr (13).png,False,0.00,0
91gr (2).png,False,0.00,0
91gr (3).png,False,0.00,0
91gr (4).png,False,0.00,0
91gr (5).png,False,0.00,0
91gr (6).png,False,0.00,0
91gr (7).png,False,0.00,0
91gr (8).png,False,0.00,0
91gr (9).png,False,0.00,0
91gr.png,True,20.26,1
91rfb (10).png,True,22.97,2
91rfb (11).png,True,17.04,4
91rfb (12).png,True,21.87,2
91rfb (13).png,False,0.00,0
91rfb (2).png,True,11.31,1
91rfb (3).png,True,17.78,1
91rfb (4).png,True,15.54,1
91rfb (5).png,False,0.00,0
91rfb (6).png,True,17.35,1
91rfb (7).png,True,24.65,1
91rfb (8).png,False,0.00,0
91rfb (9).png,False,0.00,0
91rfb.png,True,23.83,1
92gr (10).png,False,0.00,0
92gr (11).png,False,0.00,0
92gr (12).png,False,0.00,0
92gr (13).png,False,0.00,0
92gr (2).png,False,0.00,0
92gr (3).png,False,0.00,0
92gr (4).png,False,0.00,0
92gr (5).png,False,0.00,0
92gr (6).png,False,0.00,0
92gr (7).png,False,0.00,0
92gr (8).png,False,0.00,0
92gr (9).png,False,0.00,0
92gr.png,False,0.00,0
92rfb (10).png,False,0.00,0
92rfb (11).png,True,14.19,2
92rfb (12).png,True,16.00,1
92rfb (13).png,True,29.36,1
92rfb (2).png,True,16.65,1
92rfb (3).png,False,0.00,0
92rfb (4).png,True,28.01,1
92rfb (5).png,False,0.00,0
92rfb (6).png,False,0.00,0
92rfb (7).png,False,0.00,0
92rfb (8).png,False,0.00,0
92rfb (9).png,False,0.00,0
92rfb.png,False,0.00,0
93gr (10).png,True,18.85,1
93gr (11).png,False,0.00,0
93gr (12).png,False,0.00,0
93gr (13).png,False,0.00,0
93gr (2).png,False,0.00,0
93gr (3).png,False,0.00,0
93gr (4).png,True,20.83,2
93gr (5).png,False,0.00,0
93gr (6).png,False,0.00,0
93gr (7).png,False,0.00,0
93gr (8).png,False,0.00,0
93gr (9).png,False,0.00,0
93gr.png,False,0.00,0
93rfb (10).png,True,17.47,1
93rfb (11).png,True,13.58,1
93rfb (12).png,True,23.64,1
93rfb (13).png,False,0.00,0
93rfb (2).png,False,0.00,0
93rfb (3).png,True,17.09,1
93rfb (4).png,True,16.38,1
93rfb (5).png,True,25.15,1
93rfb (6).png,False,0.00,0
93rfb (7).png,True,19.94,1
93rfb (8).png,False,0.00,0
93rfb (9).png,False,0.00,0
93rfb.png,False,0.00,0
94gr (10).png,False,0.00,0
94gr (11).png,False,0.00,0
94gr (12).png,False,0.00,0
94gr (13).png,False,0.00,0
94gr (2).png,False,0.00,0
94gr (3).png,False,0.00,0
94gr (4).png,False,0.00,0
94gr (5).png,False,0.00,0
94gr (6).png,False,0.00,0
94gr (7).png,False,0.00,0
94gr (8).png,False,0.00,0
94gr (9).png,False,0.00,0
94gr.png,True,18.53,2
94rfb (10).png,True,21.83,1
94rfb (11).png,False,0.00,0
94rfb (12).png,True,22.65,1
94rfb (13).png,True,21.47,2
94rfb (2).png,False,0.00,0
94rfb (3).png,False,0.00,0
94rfb (4).png,False,0.00,0
94rfb (5).png,True,20.74,3
94rfb (6).png,False,0.00,0
94rfb (7).png,False,0.00,0
94rfb (8).png,True,13.53,2
94rfb (9).png,False,0.00,0
94rfb.png,True,17.42,3
95gr (10).png,False,0.00,0
95gr (11).png,False,0.00,0
95gr (12).png,False,0.00,0
95gr (13).png,False,0.00,0
95gr (2).png,False,0.00,0
95gr (3).png,False,0.00,0
95gr (4).png,False,0.00,0
95gr (5).png,False,0.00,0
95gr (6).png,False,0.00,0
95gr (7).png,False,0.00,0
